Target animal,Food type,Brand,Price category,Use,n
Cat,Dry,Tesco ,Value,Industrial,1
Cat,Dry,Tesco ,Value,Industrial,2
Cat,Wet,Tesco ,Value,Industrial,1
Dog,Dry,Harringtons,Value,Industrial,2
Dog,Dry,Tesco,Value,Industrial,1
Dog,Dry,Tesco,Value,Industrial,1
Dog,Dry,Tesco,Value,Industrial,2
Dog,Dry,Waitrose ,Value,Industrial,2
Cat,Dry,Tesco ,Value,Packaging,2
Cat,Wet,Waitrose ,Value,Packaging,1
Cat,Wet,Waitrose ,Value,Packaging,1
Dog,Dry,Harringtons,Value,Packaging,1
Dog,Dry,Harringtons,Value,Packaging,2
Dog,Dry,Waitrose ,Value,Packaging,1
Dog,Dry,Waitrose ,Value,Packaging,2
Dog,Wet,Tesco ,Value,Packaging,1
Dog,Wet,Waitrose ,Value,Packaging,1
Cat,Dry,Sainsburys,Value,Textiles,2
Cat,Wet,Sainsburys,Value,Textiles,1
Cat,Wet,Sainsburys,Value,Textiles,1
Cat,Wet,Tesco ,Value,Textiles,1
Cat,Wet,Waitrose ,Value,Textiles,1
Cat,Wet,Waitrose ,Value,Textiles,1
Cat,Wet,Waitrose ,Value,Textiles,1
Dog,Dry,Tesco,Value,Textiles,2
Dog,Dry,Waitrose ,Value,Textiles,5
Dog,Wet,Sainsburys,Value,Textiles,1
Dog,Wet,Tesco ,Value,Textiles,2
Hedgehog,Dry,Extra select natural,Value,Textiles,2
Hedgehog,Dry,Extra select natural,Value,Textiles,3
Cat,Dry,Scrumbles ,Premium,Industrial,2
Dog,Wet,Canin ,Premium,Industrial,1
Dog,Wet,Canin ,Premium,Industrial,2
Cat,Dry,Lily's kitchen ,Premium,Packaging,2
Cat,Dry,Scrumbles ,Premium,Packaging,1
Dog,Dry,Lily's kitchen ,Premium,Packaging,2
Dog,Wet,Lily's kitchen ,Premium,Packaging,1
Hedgehog,Dry,Igelfutter food,Premium,Packaging,1
Cat,Dry,Lily's kitchen ,Premium,Textiles,1
Dog,Dry,Lily's kitchen ,Premium,Textiles,1
Cat,Wet,Whiskas,Mid range,Additives,2
Hedgehog,Dry,Bramble,Mid range,Additives,1
Cat,Dry,Harringtons,Mid range,Industrial,1
Cat,Dry,Harringtons,Mid range,Industrial,1
Cat,Dry,Harringtons,Mid range,Industrial,1
Cat,Wet,Harringtons,Mid range,Industrial,1
Cat,Wet,Harringtons,Mid range,Industrial,1
Cat,Wet,Whiskas,Mid range,Industrial,1
Cat,Wet,Whiskas,Mid range,Industrial,1
Cat,Wet,Whiskas,Mid range,Industrial,1
Cat,Wet,Whiskas,Mid range,Industrial,2
Dog,Dry,Pedigree,Mid range,Industrial,1
Hedgehog,Dry,Bramble,Mid range,Industrial,1
Hedgehog,Dry,Bramble,Mid range,Industrial,1
Hedgehog,Dry,Wild things,Mid range,Industrial,1
Cat,Wet,Whiskas,Mid range,Packaging,1
Cat,Wet,Whiskas,Mid range,Packaging,2
Dog,Dry,Pedigree,Mid range,Packaging,1
Dog,Wet,Pedigree,Mid range,Packaging,1
Hedgehog,Dry,Bramble,Mid range,Packaging,1
Cat,Dry,Iams,Mid range,Textiles,2
Dog,Dry,Canin ,Mid range,Textiles,3
Dog,Dry,Pedigree,Mid range,Textiles,1
Hedgehog,Dry,Bramble,Mid range,Textiles,1
Hedgehog,Dry,Mr Johnson,Mid range,Textiles,1
Hedgehog,Dry,Spikes,Mid range,Textiles,1
Hedgehog,Dry,Spikes,Mid range,Textiles,2
