Target animal,Food type,Brand,Code,Price category,Polymer,n,Total,Percentage
Hedgehog,Dry,Bramble,B1,Mid range,Polypropylene,1,5,20
Hedgehog,Dry,Bramble,B3,Mid range,Nautatuck Antioxidant 451,1,5,20
Hedgehog,Dry,Bramble,B3,Mid range,Polyester,1,5,20
Hedgehog,Dry,Bramble,B4,Mid range,Polynorbornene,1,5,20
Hedgehog,Dry,Bramble,B4,Mid range,Epoxy resin,1,5,20
Dog,Dry,Canin ,CD6,Mid range,Polyester,1,4,25
Dog,Wet,Canin ,CM4,Premium,Epoxy resin,1,4,25
Dog,Wet,Canin ,CM5,Premium,CTA rubber,2,4,50
Hedgehog,Dry,Extra select natural,ESN5,Value,Polyester,2,5,40
Hedgehog,Dry,Extra select natural,ESN1,Value,Polyester,3,5,60
Cat,Dry,Harringtons,H2,Mid range,Polyacrylamide,1,3,33.33333333
Cat,Dry,Harringtons,H4,Mid range,Polyacrylamide,1,3,33.33333333
Cat,Dry,Harringtons,H5,Mid range,Polyacrylamide,1,3,33.33333333
Dog,Dry,Harringtons,Har2,Value,Polyethylene,1,1,100
Cat,Wet,Harringtons,HWC2,Mid range,Polyacrylamide,1,2,50
Cat,Wet,Harringtons,HWC5,Mid range,Polyacrylamide,1,2,50
Dog,Dry,Harringtons,Har3,Value,Polyethylene,3,5,60
Dog,Dry,Harringtons,Har5,Value,Polyvinyl acetate,2,5,40
Cat,Dry,Iams,Iams2D,Mid range,nylon,2,2,100
Hedgehog,Dry,Igelfutter food,IHF6,Premium,Cellophane,1,1,100
Cat,Dry,Lily's kitchen ,LKDC5,Premium,Polyester,1,3,33.33333333
Dog,Dry,Lily's kitchen ,LKDD6,Premium,Polyester,1,3,33.33333333
Dog,Dry,Lily's kitchen ,LKDD6,Premium,Protein a helix film,1,3,33.33333333
Dog,Wet,Lily's kitchen ,LKWD5,Premium,Polypropylene/ polyethylene co polymer,1,3,33.33333333
Cat,Dry,Lily's kitchen ,LKDC5,Premium,Cellophane,2,3,66.66666667
Hedgehog,Dry,Mr Johnson,MrJ3,Mid range,Polyester,1,1,100
Dog,Dry,Pedigree,PD2,Mid range,Polyacrylamide,1,3,33.33333333
Dog,Dry,Pedigree,PD4,Mid range,Polyester,1,3,33.33333333
Dog,Dry,Pedigree,PD6,Mid range,Polypropylene,1,3,33.33333333
Dog,Wet,Pedigree,PW5,Mid range,Polypropylene,1,1,100
Cat,Wet,Sainsburys,CN1wc,Value,Polyester,1,2,50
Cat,Wet,Sainsburys,CN3wc,Value,Polyester,1,2,50
Dog,Wet,Sainsburys,CNWD5,Value,Polyester,1,1,100
Cat,Dry,Sainsburys,SCD5,Value,Polyester,2,2,100
Cat,Dry,Scrumbles ,SCRD4,Premium,Polypropylene/ polyethylene co polymer,1,3,33.33333333
Cat,Dry,Scrumbles ,SCRD2,Premium,Polyacrylamide,2,3,66.66666667
Hedgehog,Dry,Spikes,S4,Mid range,Polyester,1,3,33.33333333
Hedgehog,Dry,Spikes,S5,Mid range,Polyester,2,3,66.66666667
Dog,Dry,Tesco,TDD4,Value,Polyacrylamide ,1,6,16.66666667
Dog,Dry,Tesco,TDD5,Value,Polyvinyl acetate,1,6,16.66666667
Dog,Dry,Tesco,TDD1,Value,Polyacrylonitrile,2,6,33.33333333
Dog,Dry,Tesco,TDD3,Value,Polyacrylamide ,2,6,33.33333333
Cat,Dry,Tesco ,TD3,Value,Polybutaine,1,5,20
Cat,Wet,Tesco ,TWC1,Value,Epoxy resin,1,2,50
Cat,Wet,Tesco ,TWC2,Value,Polyester,1,2,50
Cat,Dry,Tesco ,TD2,Value,Polybutaine,2,5,40
Cat,Dry,Tesco ,TD4,Value,Polyethylene,2,5,40
Dog,Wet,Tesco ,TWD3,Value,Polyacrylonitrile,2,5,40
Dog,Wet,Tesco ,TWD3,Value,Polyethylene,3,5,60
Cat,Wet,Waitrose ,EWC1,Value,Polypropylene,1,5,20
Cat,Wet,Waitrose ,EWC2,Value,Polyester,1,5,20
Cat,Wet,Waitrose ,EWC4,Value,Polyacrylonitrile,1,5,20
Cat,Wet,Waitrose ,EWC5,Value,Polypropylene,1,5,20
Cat,Wet,Waitrose ,EWC6,Value,Polyester,1,5,20
Dog,Dry,Waitrose ,WD6,Value,cellophane ,1,9,11.11111111
Dog,Wet,Waitrose ,WW3,Value,Cellophane,1,1,100
Dog,Dry,Waitrose ,WD2,Value,Polyproplene polyethylene copolymer,2,9,22.22222222
Dog,Dry,Waitrose ,WD5,Value,Polyvinyl acetate,2,9,22.22222222
Dog,Dry,Waitrose ,WD1,Value,Polyester,5,9,55.55555556
Cat,Wet,Whiskas,W2,Mid range,Aluminum silicate,1,10,10
Cat,Wet,Whiskas,W3,Mid range,Polyacrylamide,1,10,10
Cat,Wet,Whiskas,W3,Mid range,Polynorbornene,1,10,10
Cat,Wet,Whiskas,W5,Mid range,Polypropylene,1,10,10
Cat,Wet,Whiskas,W1,Mid range,Cellophane,2,10,20
Cat,Wet,Whiskas,W4,Mid range,Polynorbornene,2,10,20
Cat,Wet,Whiskas,W5,Mid range,Ethylene glycol stearate,2,10,20
Hedgehog,Dry,Wild things,WT5,Mid range,Polyacrylamide,1,1,100
