Type,Polyethylene,Polyester,Polyacrylamide,Polyvinyl acetate,Nylon,Cellophane,Protein a helix film,Polypropylene,Polyacrylonitrile,Epoxy resin,Polynorbornene,CTA rubber,Aluminum silicate,Ethylene glycol stearate,Polybutaine
Dry,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dry,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Dry,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Dry,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dry,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Dry,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Dry,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dry,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Dry,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Dry,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dry,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
Dry,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
Dry,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Dry,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dry,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Dry,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dry,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dry,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0
Dry,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Wet,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Wet,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Wet,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0
Wet,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Wet,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0
Wet,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Wet,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Wet,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Wet,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
