Target animal,Type,Brand,Price category,n,Total
Cat,Dry,Harringtons,Mid range,1,3
Cat,Dry,Harringtons,Mid range,1,3
Cat,Dry,Harringtons,Mid range,1,3
Cat,Dry,Scrumbles,Premium,1,3
Cat,Dry,Tesco,Value,1,5
Dog,Dry,Canin,Mid range,1,3
Dog,Dry,Harringtons,Value,1,5
Dog,Dry,Pedigree,Mid range,1,3
Dog,Dry,Pedigree,Mid range,1,3
Dog,Dry,Pedigree,Mid range,1,3
Dog,Dry,Tesco,Value,1,6
Dog,Dry,Tesco,Value,1,6
Dog,Dry,Waitrose,Value,1,10
Hedgehog,Dry,Bramble,Mid range,1,5
Hedgehog,Dry,Extra select natural,Value,1,5
Hedgehog,Dry,Igelfutter food,Premium,1,1
Hedgehog,Dry,Mr Johnson,Mid range,1,1
Hedgehog,Dry,Spikes,Mid range,1,3
Hedgehog,Dry,Wild things,Mid range,1,1
Cat,Wet,Harringtons,Mid range,1,2
Cat,Wet,Harringtons,Mid range,1,2
Cat,Wet,Sainsbury Complete nutrition,Value,1,2
Cat,Wet,Sainsbury Complete nutrition,Value,1,2
Cat,Wet,Tesco,Value,1,2
Cat,Wet,Tesco,Value,1,2
Cat,Wet,Waitrose,Value,1,5
Cat,Wet,Waitrose,Value,1,5
Cat,Wet,Waitrose,Value,1,5
Cat,Wet,Waitrose,Value,1,5
Cat,Wet,Waitrose,Value,1,5
Cat,Wet,Whiskas,Mid range,1,10
Dog,Wet,Canin,Premium,1,3
Dog,Wet,Lily's kitchen,Premium,1,1
Dog,Wet,Pedigree,Mid range,1,1
Dog,Wet,Sainsbury Complete nutrition,Value,1,1
Dog,Wet,Tesco,Value,1,3
Dog,Wet,Waitrose,Value,1,1
Cat,Dry,Iams,Mid range,2,2
Cat,Dry,Sainsbury Complete nutrition,Value,2,2
Cat,Dry,Scrumbles,Premium,2,3
Cat,Dry,Tesco,Value,2,5
Cat,Dry,Tesco,Value,2,5
Dog,Dry,Canin,Mid range,2,3
Dog,Dry,Harringtons,Value,2,5
Dog,Dry,Harringtons,Value,2,5
Dog,Dry,Tesco,Value,2,6
Dog,Dry,Tesco,Value,2,6
Dog,Dry,Waitrose,Value,2,10
Dog,Dry,Waitrose,Value,2,10
Dog,Dry,Waitrose,Value,2,10
Hedgehog,Dry,Bramble,Mid range,2,5
Hedgehog,Dry,Bramble,Mid range,2,5
Hedgehog,Dry,Spikes,Mid range,2,3
Cat,Wet,Whiskas,Mid range,2,10
Cat,Wet,Whiskas,Mid range,2,10
Cat,Wet,Whiskas,Mid range,2,10
Dog,Wet,Canin,Premium,2,3
Dog,Wet,Tesco,Value,2,3
Cat,Dry,Lily's kitchen,Premium,3,3
Dog,Dry,Lily's kitchen,Premium,3,3
Dog,Dry,Waitrose,Value,3,10
Cat,Wet,Whiskas,Mid range,3,10
Hedgehog,Dry,Extra select natural,Value,4,5
