Target animal,Type,Polyethylene,Polyester,Polyacrylamide,Polyvinyl acetate,Nylon,Cellophane,Protein a helix film,Polypropylene,Polyacrylonitrile,Epoxy resin,Polynorbornene,CTA rubber,Aluminum silicate,Ethylene glycol stearate,Polybutaine
Cat,Dry,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cat,Dry,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cat,Dry,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Cat,Dry,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cat,Dry,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Cat,Dry,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cat,Wet,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Cat,Wet,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cat,Wet,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0
Cat,Wet,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Cat,Wet,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0
Dog,Dry,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dog,Dry,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Dog,Dry,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Dog,Dry,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dog,Dry,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
Dog,Dry,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
Dog,Dry,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Dog,Wet,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Dog,Wet,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Dog,Wet,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Dog,Wet,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hedgehog,Dry,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hedgehog,Dry,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Hedgehog,Dry,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hedgehog,Dry,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Hedgehog,Dry,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0
Hedgehog,Dry,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
